id,Kategorie,Samen,Name,Preis,URL
160,Sukkulenten,false,Echeverie,14.99,https://assets.dehner.de/new_product_list_normal/echeverie--echeveriahybride-mexican-giant/8684060_PR_FS_001_EcheveriaMexicanaGiantT17DehnerExpressHerzig.jpg
161,Sukkulenten,false,Haworthie,3.99,https://assets.dehner.de/new_product_list_normal/haworthie--haworthia-concolor/8680829_PR_FS_001_HaworthiaConcolorT8_5DehnerExpressHerzig.jpg
162,Sukkulenten,false,Gasterie,4.99,https://assets.dehner.de/new_product_list_normal/gasterie--gasteria-verrucosa/8247041_PR_FS_001_GasteriaVerruscosaT10_5DehnerExpressHerzig.jpg
163,Teichpflanzen,true,Schilfrohr,3.99,https://assets.dehner.de/new_product_list_normal/schilfrohr/8313884_BildFS_001_SchilfrohrPhragmitesAustralis.jpg
164,Teichpflanzen,true,Seerose,15.99,https://assets.dehner.de/new_product_list_normal/dehner-aqua-seerose/8313603_BildFS_001_SeeroseSeeroseTrockenGelb.jpg
165,Teichpflanzen,true,Rohrkolben,3.99,https://assets.dehner.de/new_product_list_normal/breitblttriger-rohrkolben/8315087_PR_DE_001_TyphaLatifoliaPixabay.jpg
166,Teichpflanzen,true,Sumpf-Vergissmeinnicht,3.99,https://assets.dehner.de/new_product_list_normal/sumpfvergissmeinnicht/8313389_WE_MO_002_MyosotisPalustrisSumpfVergissMeinNichtPixabay.jpg
167,Teichpflanzen,true,Japanischer Schachtelhalm,4.49,https://assets.dehner.de/new_product_list_normal/japanischer-schachtelhalm/8311326_WE_DE_001_SchachtelhalmEquisetumJaponicumT9.jpg
168,Teichpflanzen,false,Gemeiner Froschlöffel,4.99,https://assets.dehner.de/new_product_list_normal/gemeiner-froschlffel/8310245_WE_MO_001_GemeinerFroschloeffelAlisma.jpg
169,Teichpflanzen,false,Frauenhaargras,5.99,https://assets.dehner.de/new_product_list_normal/frauenhaargras--moorbinse--simse/8314585_WE_DE_001_FrauenhaargrasScirpusCernuusT18DehnerExpressHerzig.jpg
170,Teichpflanzen,false,Äthiopische Calla,5.99,https://assets.dehner.de/new_product_list_normal/thiopische-calla--zantedeschia-aethiopica/8319410_WE_MO_001_ZantedeschiaAethiopicaCallaPixabay.jpg
171,Teichpflanzen,false,Spaltgriffel,3.99,https://assets.dehner.de/new_product_list_normal/spaltgriffel--sumpfgladiole/8314460_BildFS_001_SpaltgriffelSumpfgladioleSchizostylisCoccineaRed.jpg
172,Teichpflanzen,false,Fieberklee,3.99,https://assets.dehner.de/new_product_list_normal/fieberklee--bitterklee/8313140_WE_DE_002_MenyanthesFieberkleeLucknerMai2015.jpg
173,Balkonpflanzen,true,Dipladenie,19.99,https://assets.dehner.de/new_product_list_normal/dipladenie-pyramide/8775447_WE_FS_001_DipladenieDipladeniaSundavillePyramdieRotT17.jpg
174,Balkonpflanzen,true,Banane,6.99,https://assets.dehner.de/new_product_list_normal/banane/8422057_PR_FS_001_MusaTropicanaT12DehnerExpressHerzig.jpg
175,Balkonpflanzen,true,Oleander,12.99,https://assets.dehner.de/new_product_list_normal/oleander-busch/8249302_WE_FS_001_OleanderBuschT17RotDehnerExpressHerzig.jpg
176,Balkonpflanzen,true,Dahlie,5.99,https://assets.dehner.de/new_product_list_normal/dahlie-dahlegria-tricolore/8823239_WE_FS_001_DahlieDahlegriaTricolor.jpg
177,Balkonpflanzen,true,Gewürzrinde,14.99,https://assets.dehner.de/new_product_list_normal/gewrzrinde-busch/8584153_BildFS_001_GewuerzrindeSennaCorymbosaBuschT17.jpg
178,Balkonpflanzen,true,Chrysantheme,1.99,https://assets.dehner.de/new_product_list_normal/chrysantheme-swifty-verschiedene-farben/8213514_PR_FS_001_ChrysanthemeSwifty9cmDehnerExpressHerzig.jpg
179,Balkonpflanzen,true,Hortensie,17.99,https://assets.dehner.de/new_product_list_normal/hortensie--hydrangea-macrophylla/8233777_PR_FS_001_HortensieHydrangeaWeissT13DehnerExpressHerzig.jpg
180,Balkonpflanzen,true,Olive,69.99,https://assets.dehner.de/new_product_list_normal/olive-ministamm/7297609_WE_FS_001_OleaEuropaStammT30DehnerExpressHerzig.jpg
181,Balkonpflanzen,true,Eukalyptus,9.99,https://assets.dehner.de/new_product_list_normal/eukalyptus-busch/8594509_PR_FS_001_EucalyptusGunniBuschT17DehnerExpressZS.jpg
182,Balkonpflanzen,true,Hibiskus,15.99,https://assets.dehner.de/new_product_list_normal/hibiskus-blue-chiffon--garteneibisch/7213606_WE_DE_001_HibiscusSyriacusBlueChiffonRoseneibischHibiskus3LDehnerExpressHerzig.jpg
183,Balkonpflanzen,false,Spinnenpflanze,12.99,https://assets.dehner.de/new_product_list_normal/spinnenpflanze/8529133_WE_FS_001_CleomeSpinosaSpinnenblumeT23DehnerExpressHerzig.jpg
184,Balkonpflanzen,false,Fruchtfeige,32.99,https://assets.dehner.de/new_product_list_normal/feige-pflzer-fruchtfeige/7186448_WE_DE_002_PfaelzerFruchtfeige.jpg
185,Balkonpflanzen,false,Margerite,9.99,https://assets.dehner.de/new_product_list_normal/margerite-bofinger-busch/8596553_PR_FS_001_MargeritenBofingerBu25DehnerExpressHerzig.jpg
186,Balkonpflanzen,false,Fuchsie,19.99,https://assets.dehner.de/new_product_list_normal/fuchsie-stmmchen-verschiedene-sorten/88586042_PR_FS_001_FuchisenStammMixT2024DehnerExpressHerzig.jpg
187,Balkonpflanzen,false,Enzianstrauch,14.99,https://assets.dehner.de/new_product_list_normal/enzianstrauch-busch/8596975_WE_FS_001_LycianthesRantonetiiBuschBlauOWT17DehnerExpressHerzig.jpg
